id,items_id,itemtype,operatingsystems_id,operatingsystemkernelversions_id
181,325,"computer",6,1
182,326,"computer",6,1
183,332,"computer",6,1
184,348,"computer",4,3
185,349,"computer",4,3
186,350,"computer",4,3
187,353,"computer",4,3
188,354,"computer",4,3
189,355,"computer",4,3
190,356,"computer",4,3
191,357,"computer",4,3
192,359,"computer",6,1
193,360,"computer",6,1
194,361,"computer",6,1
195,363,"computer",6,1
196,379,"computer",4,3
197,380,"computer",6,1
198,381,"computer",6,1
199,382,"computer",6,1
200,383,"computer",6,1
201,384,"computer",4,3
202,385,"computer",4,3
203,386,"computer",4,3
204,387,"computer",4,3
205,389,"computer",4,3
206,391,"computer",4,3
207,397,"computer",6,1
208,398,"computer",4,3
209,399,"computer",4,3
210,400,"computer",4,3
211,401,"computer",4,3
212,402,"computer",4,3
213,403,"computer",4,3
214,404,"computer",4,3
215,423,"computer",6,1
216,426,"computer",6,1
217,428,"computer",4,3
218,445,"computer",6,1
219,446,"computer",6,1
220,447,"computer",6,1
221,450,"computer",6,1
222,451,"computer",6,1
223,455,"computer",6,1
224,460,"computer",4,3
225,461,"computer",4,3
226,462,"computer",4,3
227,463,"computer",6,1
228,468,"computer",4,3
229,470,"computer",5,4
230,471,"computer",5,4
231,472,"computer",5,4
232,473,"computer",5,4
233,474,"computer",5,4
234,475,"computer",5,4
235,476,"computer",5,4
236,477,"computer",5,4
237,478,"computer",5,4
238,479,"computer",5,4
239,480,"computer",5,4
240,481,"computer",5,4
241,482,"computer",5,4
242,484,"computer",6,1
243,485,"computer",6,1
244,488,"computer",4,3
245,496,"computer",5,4
246,500,"computer",4,3
247,508,"computer",4,3
248,518,"computer",4,3
249,527,"computer",4,3
250,528,"computer",4,3
251,529,"computer",4,3
252,530,"computer",4,3
253,531,"computer",6,1
254,532,"computer",4,3
255,533,"computer",4,3
256,536,"computer",4,3
257,538,"computer",4,3
258,540,"computer",4,3
259,541,"computer",6,1
260,548,"computer",4,3
261,549,"computer",4,3
262,550,"computer",4,3
263,551,"computer",4,3
264,553,"computer",4,3
265,554,"computer",6,1
266,555,"computer",4,3
267,556,"computer",4,3
268,557,"computer",4,3
269,559,"computer",4,3
270,561,"computer",4,3
271,562,"computer",4,3
272,565,"computer",4,3
273,566,"computer",4,3
274,573,"computer",7,3
275,579,"computer",4,3
276,601,"computer",7,3
277,602,"computer",7,3
278,604,"computer",7,3
279,611,"computer",7,3
280,612,"computer",5,3
281,619,"computer",7,3
282,620,"computer",7,3
283,625,"computer",4,3
284,628,"computer",7,3
285,631,"computer",6,1
286,642,"computer",6,1
287,650,"computer",7,3
288,651,"computer",4,3
289,652,"computer",6,2
290,655,"computer",6,1
291,658,"computer",6,1
292,663,"computer",6,1
293,782,"computer",6,1
294,783,"computer",6,1
295,882,"computer",4,3
296,884,"computer",6,1
297,905,"computer",4,3
298,908,"computer",4,3
299,910,"computer",4,3
300,913,"computer",4,3
301,915,"computer",4,3
302,920,"computer",4,3
303,921,"computer",4,3
304,922,"computer",4,3
305,924,"computer",4,3
306,926,"computer",4,3
307,934,"computer",4,3
308,939,"computer",4,3
309,951,"computer",6,1
310,961,"computer",4,3
311,966,"computer",6,1
312,971,"computer",4,3
313,973,"computer",5,4
314,975,"computer",4,3
315,980,"computer",4,3
316,989,"computer",4,3
317,990,"computer",6,1
318,992,"computer",4,3
319,995,"computer",4,3
320,998,"computer",6,1
321,999,"computer",4,3
322,1000,"computer",4,3
323,1028,"computer",4,3
324,1030,"computer",4,3
325,1031,"computer",4,3
326,1032,"computer",4,3
327,1033,"computer",4,3
328,1034,"computer",4,3
329,1035,"computer",4,3
330,1036,"computer",4,3
331,1037,"computer",4,3
332,1038,"computer",4,3
333,1067,"computer",4,3
334,1068,"computer",4,3
335,1070,"computer",4,3
336,1071,"computer",4,3
337,1072,"computer",4,3
338,1073,"computer",4,3
339,1074,"computer",4,3
340,1075,"computer",4,3
341,1076,"computer",4,3
342,1077,"computer",4,3
343,1078,"computer",4,3
344,1079,"computer",4,3
345,1080,"computer",4,3
346,1081,"computer",4,3
347,1083,"computer",4,3
348,1085,"computer",4,3
349,1087,"computer",4,3
350,1088,"computer",6,1
351,1089,"computer",4,3
352,1090,"computer",4,3
353,1091,"computer",4,3
354,1093,"computer",6,1
355,1094,"computer",3,7
356,1095,"computer",2,7
357,1096,"computer",3,7
358,1097,"computer",1,7
359,1098,"computer",3,7
360,1099,"computer",3,7
