id,NAME,serial,computermodels_ID,computerTypes_ID,manufacturers_ID,States_ID,UUID
75,"sdp-03","CZC9362ZBT",6,4,3,1,"sdp-03-2012-12-19-11-16-45"
77,"108-02","44C5B5J",13,5,2,1,"108-02-2012-09-24-13-22-09"
79,"201-vp","CZC9362ZKD",6,4,3,1,"201-vp-2012-12-13-15-59-37"
83,"sdp-05","CZC9362ZFC",6,4,3,1,"sdp-05-2013-01-15-11-41-03"
84,"sdp-06","CZC9352H00",6,4,3,1,"sdp-06-2012-12-20-17-20-22"
88,"sdp-04","CZC9362ZFK",6,4,3,1,"sdp-04-2012-12-19-13-38-05"
89,"sdp-01","CZC9352GZH",6,4,3,1,"sdp-01-2012-12-20-12-38-59"
91,"110-vp","CZC63855NJ",7,5,3,1,"110-vp-2012-09-26-17-03-22"
93,"sdp-02","CZC9352H57",6,4,3,1,"sdp-02-2012-12-21-15-15-32"
94,"204-01","CZC8260ZMF",5,4,3,1,"204-01-2012-12-06-11-33-21"
95,"334-01","CZC9362ZDQ",6,4,3,1,"334-01-2012-12-19-23-34-46"
96,"svt-03","CZC63855QH",7,5,3,1,"svt-03-2012-09-21-14-22-58"
98,"329-09","CZC2058SSW",4,5,3,1,"329-09-2013-03-11-11-16-48"
100,"231-vp","CZC0302SZR",3,4,3,1,"231-vp-2012-12-13-13-13-53"
101,"222-01","CZC7350ZF3",8,5,3,1,"222-01-2013-01-21-17-16-30"
102,"113-01","CZC2065JNS",3,4,3,1,"113-01-2012-10-19-09-48-26"
103,"236-16","CZC0302SZX",3,4,3,1,"236-16-2012-12-07-12-46-37"
104,"236-12","CZC0302SZT",3,4,3,1,"236-12-2012-12-07-17-08-51"
105,"234-02","CZC0302SZV",3,4,3,1,"234-02-2012-12-18-17-36-22"
106,"236-03","CZC0302VHY",3,4,3,1,"236-03-2013-01-15-11-11-44"
107,"228-vp","CZC7350ZDS",8,5,3,1,"228-vp-2012-10-18-16-25-48"
108,"311-04","CZC7350ZD6",8,5,3,1,"311-04-2012-12-21-06-11-34"
110,"204-14","CZC826540R",5,4,3,1,"204-14-2012-12-20-14-40-53"
112,"201-10","CZC9362ZK6",6,4,3,1,"201-10-2013-02-04-10-43-39"
113,"201-08","CZC9352H1J",6,4,3,1,"201-08-2012-12-04-07-21-28"
114,"201-02","CZC9352GXW",6,4,3,1,"201-02-2012-12-04-07-47-38"
115,"201-03","CZC9352GZ3",6,4,3,1,"201-03-2012-11-30-14-35-53"
116,"200-14","CZC9352GZ8",6,4,3,1,"200-14-2012-12-18-14-57-01"
119,"200-05","CZC9352H60",6,4,3,1,"200-05-2012-12-12-09-05-10"
120,"236-09","CZC0302SZ0",3,4,3,1,"236-09-2012-12-07-16-31-30"
121,"233-15","CZC0302VJN",3,4,3,1,"233-15-2012-12-13-19-09-46"
122,"233-02","CZC0302VJQ",3,4,3,1,"233-02-2012-12-17-09-12-43"
123,"234-03","CZC0302VJV",3,4,3,1,"234-03-2012-12-18-19-55-02"
124,"236-13","CZC0310NN8",3,4,3,1,"236-13-2013-01-21-14-51-58"
125,"108-01","D4C5B5J",13,5,2,1,"108-01-2012-09-24-13-39-17"
126,"236-02","CZC0302SZK",3,4,3,1,"236-02-2013-03-04-16-47-40"
127,"114-01","CZC9362ZK2",6,4,3,1,"114-01-2012-11-13-13-36-13"
128,"236-08","CZC0302SZN",3,4,3,1,"236-08-2013-01-21-14-45-36"
129,"233-14","CZC0302X9G",3,4,3,1,"233-14-2012-12-13-11-56-55"
130,"236-01","CZC0302X7B",3,4,3,1,"236-01-2013-02-11-18-04-29"
131,"235-09","CZC0302VJW",3,4,3,1,"235-09-2012-12-19-13-06-17"
132,"236-10","CZC0302VJ7",3,4,3,1,"236-10-2012-12-11-09-05-01"
133,"236-14","CZC0302SZG",3,4,3,1,"236-14-2013-01-14-13-57-18"
134,"232-01","CZC0302SZB",3,4,3,1,"232-01-2013-01-22-15-16-00"
135,"329-02","CZC2058SSV",4,5,3,1,"329-02-2013-03-11-09-04-36"
137,"329-05","CZC2058SSL",4,5,3,1,"329-05-2013-03-08-10-48-37"
138,"329-08","CZC2058SSB",4,5,3,1,"329-08-2013-03-12-11-51-14"
139,"329-07","CZC2058SSN",4,5,3,1,"329-07-2013-03-11-14-25-03"
141,"233-03","CZC0257TRP",3,4,3,1,"233-03-2012-12-18-14-04-10"
142,"235-12","CZC0310NND",3,4,3,1,"235-12-2012-12-17-08-14-06"
143,"220-01","CZC7350ZDB",8,5,3,1,"220-01-2013-01-09-16-58-06"
144,"236-06","CZC0302SZS",3,4,3,1,"236-06-2012-12-07-14-24-14"
145,"236-05","CZC0302SZ5",3,4,3,1,"236-05-2012-12-07-18-32-15"
146,"236-04","CZC0302VJL",3,4,3,1,"236-04-2013-01-17-08-26-27"
148,"233-13","CZC0302X9K",3,4,3,1,"233-13-2012-12-13-12-03-38"
151,"233-01","CZC0302X92",3,4,3,1,"233-01-2012-12-12-12-11-40"
153,"235-04","CZC0302VJY",3,4,3,1,"235-04-2012-12-14-13-20-56"
154,"200-17","CZC9352H46",6,4,3,1,"200-17-2012-12-17-13-06-19"
155,"233-04","CZC0302VJ5",3,4,3,1,"233-04-2012-12-17-13-29-30"
156,"236-07","CZC0302SZ7",3,4,3,1,"236-07-2013-01-14-11-08-37"
157,"235-03","CZC0302VJ2",3,4,3,1,"235-03-2012-12-10-19-57-34"
158,"235-11","CZC0302VJ1",3,4,3,1,"235-11-2012-12-14-10-57-39"
159,"236-15","CZC0302SYZ",3,4,3,1,"236-15-2013-01-21-09-41-26"
160,"204-vp","CZC826540C",5,4,3,1,"204-vp-2012-12-17-21-18-55"
162,"235-13","CZC03033WQ",3,4,3,1,"235-13-2012-12-14-13-00-29"
163,"201-12","CZC9362ZG0",6,4,3,1,"201-12-2012-12-04-07-39-05"
164,"235-02","CZC0302VJX",3,4,3,1,"235-02-2012-12-12-15-44-50"
165,"235-vp","CZC0302SYP",3,4,3,1,"235-vp-2012-12-17-13-18-36"
166,"233-16","CZC0302X8P",3,4,3,1,"233-16-2012-12-13-14-34-42"
167,"108-05","24C5B5J",13,5,2,1,"108-05-2012-09-24-14-38-17"
168,"233-11","CZC0302VJG",3,4,3,1,"233-11-2012-12-12-19-28-16"
169,"235-07","CZC0302VJJ",3,4,3,1,"235-07-2012-12-14-17-29-56"
170,"335-10","CZC7350ZCR",8,5,3,1,"335-10-2012-12-18-11-45-59"
171,"235-06","CZC0302SZ1",3,4,3,1,"235-06-2012-12-10-11-51-11"
173,"200-04","CZC9352H2D",6,4,3,1,"200-04-2012-12-11-05-44-14"
175,"233-05","CZC0302X93",3,4,3,1,"233-05-2012-12-12-15-40-03"
176,"200-03","CZC9352H01",6,4,3,1,"200-03-2012-12-11-06-26-07"
177,"233-07","CZC0302X8Z",3,4,3,1,"233-07-2012-12-17-14-18-34"
178,"200-08","CZC9352GZP",6,4,3,1,"200-08-2012-12-11-05-46-56"
180,"200-01","CZC9352H02",6,4,3,1,"200-01-2012-12-11-05-39-49"
181,"335-08","CZC7350ZC4",8,5,3,1,"335-08-2012-12-18-08-25-44"
182,"335-15","CZC7350ZCB",8,5,3,1,"335-15-2012-12-18-10-15-19"
186,"200-15","CZC9352H48",6,4,3,1,"200-15-2012-12-11-07-50-44"
187,"216-01","CZC7350ZDN",8,5,3,1,"216-01-2013-04-10-11-47-17"
190,"200-06","CZC9352GY8",6,4,3,1,"200-06-2012-12-17-14-57-41"
191,"svt-07","CZC63855PB",7,5,3,1,"svt-07-2012-09-21-15-51-10"
192,"212-01","CZC7350ZDR",8,5,3,1,"212-01-2013-03-11-18-15-12"
193,"311-03","CZC7350ZC1",8,5,3,1,"311-03-2013-01-07-20-07-05"
195,"200-07","CZC9352H2S",6,4,3,1,"200-07-2012-12-17-19-04-55"
201,"335-04","CZC7350ZD0",8,5,3,1,"335-04-2012-12-18-11-41-11"
202,"112-09","CZC2065JN3",3,4,3,1,"112-09-2012-10-19-10-15-45"
204,"233-06","CZC0302X9D",3,4,3,1,"233-06-2012-12-12-16-22-26"
206,"335-06","CZC7350ZCQ",8,5,3,1,"335-06-2012-12-18-12-37-14"
208,"200-16","CZC9352H5C",6,4,3,1,"200-16-2012-12-11-08-34-09"
211,"215-vp","CZC63855NL",7,5,3,1,"215-vp-2012-09-28-16-36-20"
213,"335-01","CZC7350ZCF",8,5,3,1,"335-01-2013-01-12-06-36-34"
214,"233-08","CZC0302SZL",3,4,3,1,"233-08-2013-01-14-17-20-01"
215,"214-vp","CZC63855PT",7,5,3,1,"214-vp-2012-10-10-21-29-36"
218,"235-10","CZC0302GZ2",3,4,3,1,"235-10-2012-12-14-11-11-31"
219,"svt-06","CZC6434KN8",7,5,3,1,"svt-06-2012-09-24-08-34-07"
224,"235-05","CZC0302SZ3",3,4,3,1,"235-05-2012-12-10-13-04-39"
232,"svt-04","CZC7350ZDG",8,5,3,1,"svt-04-2012-09-20-12-01-03"
240,"335-16","CZC7350ZC9",8,5,3,1,"335-16-2012-12-18-11-44-29"
242,"235-01","CZC0302VK1",3,4,3,1,"235-01-2012-12-13-03-44-21"
243,"235-14","CZC0302X8S",3,4,3,1,"235-14-2013-01-30-14-19-00"
244,"235-15","CZC0302SYR",3,4,3,1,"235-15-2012-12-18-14-12-17"
246,"200-09","CZC9352GY3",6,4,3,1,"200-09-2012-12-11-08-34-39"
247,"235-08","CZC0302ZB4",3,4,3,1,"235-08-2012-12-18-22-58-23"
248,"201-05","CZC9362Z8N",6,4,3,1,"201-05-2012-12-10-20-52-39"
249,"200-10","CZC9352H1Y",6,4,3,1,"200-10-2012-12-10-14-38-22"
251,"svt-02","CZC63855PM",7,5,3,1,"svt-02-2012-09-19-17-11-14"
254,"200-12","CZC9362ZFM",6,4,3,1,"200-12-2012-12-12-01-45-25"
255,"335-02","CZC7350ZF2",8,5,3,1,"335-02-2012-12-18-08-27-04"
258,"107-vp","CZC63855NG",7,5,3,1,"107-vp-2012-10-02-15-02-29"
262,"201-11","CZC9362ZCJ",6,4,3,1,"201-11-2013-02-04-11-53-49"
263,"233-10","CZC03033WP",3,4,3,1,"233-10-2012-12-18-16-58-25"
264,"233-12","CZC02735LX",3,4,3,1,"233-12-2012-12-17-17-21-44"
265,"201-14","CZC9362ZJY",6,4,3,1,"201-14-2012-12-05-03-50-40"
266,"201-09","CZC9362ZB6",6,4,3,1,"201-09-2012-12-04-08-16-00"
267,"335-11","CZC7350ZCN",8,5,3,1,"335-11-2012-12-18-08-30-54"
268,"233-09","CZC0302SZW",3,4,3,1,"233-09-2012-12-19-10-56-43"
271,"335-09","CZC7350ZCJ",8,5,3,1,"335-09-2013-01-21-15-04-30"
273,"335-17","CZC9352H1F",6,4,3,1,"335-17-2013-05-29-12-29-23"
285,"svt-08","CZC63855NQ",7,5,3,1,"svt-08-2012-09-24-10-23-47"
286,"333-01","CZC9362ZKW",6,4,3,1,"333-01-2012-12-19-23-44-42"
288,"236-11","CZC0302SZ9",3,4,3,1,"236-11-2013-01-14-09-10-56"
290,"339-01","CZC7350HCN",8,5,3,1,"339-01-2013-09-20-09-10-47"
291,"338-01","CZC7350ZF6",8,5,3,1,"338-01-2013-09-20-09-10-12"
292,"336-01","CZC7350HCP",8,5,3,1,"336-01-2013-09-20-09-09-37"
294,"335-03","CZC7350ZC0",8,5,3,1,"335-03-2012-12-18-11-40-40"
295,"335-14","CZC7350ZCT",8,5,3,1,"335-14-2012-12-18-11-38-12"
296,"330-01","CZC7350HCL",8,5,3,1,"330-01-2012-12-21-01-10-03"
297,"331-01","CZC9362ZFF",6,4,3,1,"331-01-2012-12-20-09-16-29"
302,"332-01","CZC9362ZC8",6,4,3,1,"332-01-2013-03-21-17-05-41"
303,"200-11","CZC9352GYH",6,4,3,1,"200-11-2012-12-17-12-24-44"
308,"226-01","CZC7350HCQ",8,5,3,1,"226-01-2013-09-25-08-35-35"
311,"327-01","CZC63855PK",7,5,3,1,"327-01-2013-03-25-09-07-31"
314,"221-01","CZC7350ZDW",8,5,3,1,"221-01-2013-09-26-10-00-57"
316,"200-13","CZC9362ZCS",6,4,3,1,"200-13-2012-12-11-08-29-28"
319,"225-01","CZC7350ZDY",8,5,3,1,"225-01-2013-09-26-14-08-16"
322,"229-vp","CZC9362ZB2",6,4,3,1,"229-vp-2012-09-28-11-57-41"
325,"227-01","CZC7350ZDM",8,5,3,1,"227-01-2013-09-25-08-33-11"
326,"224-01","CZC7350ZF4",8,5,3,1,"224-01-2013-09-27-11-09-27"
332,"200-02","CZC9352GZ9",6,4,3,1,"200-02-2012-12-12-09-14-10"
348,"324-01","CZC33326CG",10,5,3,1,"324-01-2013-10-03-10-05-12"
349,"324-07","CZC33326CH",10,5,3,1,"324-07-2013-10-03-10-45-06"
350,"324-09","CZC33326CF",10,5,3,1,"324-09-2013-10-03-10-45-26"
353,"324-05","CZC33326C9",10,5,3,1,"324-05-2013-10-04-08-09-29"
354,"324-04","CZC33326CC",10,5,3,1,"324-04-2013-10-04-08-16-39"
355,"324-02","CZC33326CJ",10,5,3,1,"324-02-2013-10-04-08-22-15"
356,"324-03","CZC33326CB",10,5,3,1,"324-03-2013-10-04-08-32-05"
357,"324-06","CZC33326C8",10,5,3,1,"324-06-2013-10-04-10-33-12"
359,"315-04","CZC9362ZLH",6,4,3,1,"315-04-2013-01-24-06-15-21"
360,"315-06","CZC9352GYM",6,4,3,1,"315-06-2013-03-12-11-48-59"
361,"315-03","CZC9362Z9F",6,4,3,1,"315-03-2012-12-19-09-25-13"
363,"204-13","CZC7350ZD5",8,5,3,1,"204-13-2013-10-10-14-22-31"
379,"112-02","CZC2065JNN",3,4,3,1,"112-02-2012-10-17-10-13-38"
380,"335-12","CZC7350ZC2",8,5,3,1,"335-12-2013-10-14-16-55-01"
381,"335-07","CZC7350ZC5",8,5,3,1,"335-07-2013-10-14-16-56-43"
382,"335-13","CZC7350ZCY",8,5,3,1,"335-13-2013-10-14-16-56-58"
383,"p14-01","System Serial Number",15,3,5,1,"p14-01-2013-02-01-11-53-21"
384,"112-04","CZC2065JNT",3,4,3,1,"112-04-2012-10-17-14-24-25"
385,"112-13","CZC2065JNK",3,4,3,1,"112-13-2012-10-22-14-27-00"
386,"112-12","CZC2065JNF",3,4,3,1,"112-12-2012-10-23-08-42-49"
387,"112-07","CZC2065JND",3,4,3,1,"112-07-2012-10-18-01-52-13"
389,"112-10","CZC2065JN5",3,4,3,1,"112-10-2012-10-17-11-28-46"
391,"109-13","CZC2361LLG",4,5,3,1,"109-13-2012-10-17-10-23-17"
397,"219-01","CZC7350ZDD",8,5,3,1,"219-01-2013-10-16-14-18-22"
398,"112-01","CZC2065JNB",3,4,3,1,"112-01-2012-10-22-11-27-20"
399,"112-14","CZC2065JNV",3,4,3,1,"112-14-2012-10-22-11-12-00"
400,"112-06","CZC2065JNC",3,4,3,1,"112-06-2012-10-18-04-22-13"
401,"112-08","CZC2065JNH",3,4,3,1,"112-08-2012-10-18-16-57-43"
402,"112-05","CZC2065JN7",3,4,3,1,"112-05-2012-10-17-10-14-59"
403,"112-03","CZC2065JNP",3,4,3,1,"112-03-2012-10-22-10-32-19"
404,"112-11","CZC2065JNG",3,4,3,1,"112-11-2012-10-17-21-25-07"
423,"315-05","CZC9352GZX",6,4,3,1,"315-05-2013-01-31-06-17-14"
426,"315-01","CZC9362ZLD",6,4,3,1,"315-01-2012-12-19-09-22-37"
428,"108-08","C4C5B5J",13,5,2,1,"108-08-2012-09-15-21-21-02"
445,"313-09","CZC82572XM",9,5,3,1,"313-09-2013-11-07-12-13-42"
446,"313-08","CZC82572WL",9,5,3,1,"313-08-2013-11-07-15-39-38"
447,"313-02","CZC82572WV",9,5,3,1,"313-02-2013-11-07-16-27-39"
450,"315-02","CZC9352GYD",6,4,3,1,"315-02-2012-12-19-09-23-25"
451,"313-04","CZC82572WT",9,5,3,1,"313-04-2013-11-08-10-18-16"
455,"315-08","CZC9352GXZ",6,4,3,1,"315-08-2013-05-21-19-46-48"
460,"108-06","74C5B5J",13,5,2,1,"108-06-2013-11-08-14-08-17"
461,"108-07","54C5B5J",13,5,2,1,"108-07-2013-11-08-14-13-45"
462,"324-08","CZC33326CD",10,5,3,1,"324-08-2013-10-04-08-09-12"
463,"106-01","CZC7350ZFB",8,5,3,1,"106-01-2013-11-06-09-56-04"
468,"P12-04","CZC3332T90",12,5,3,1,"P12-04-2013-11-13-09-43-33"
470,"P12-12",NULL,1,2,1,1,"P12-12-2013-11-13-10-00-16"
471,"P11-04",NULL,1,2,1,1,"P11-04-2013-11-13-10-18-08"
472,"P11-00",NULL,1,2,1,1,"P11-00-2013-11-13-10-30-35"
473,"P11-07",NULL,1,2,1,1,"P11-07-2013-11-13-10-39-43"
474,"P11-02",NULL,1,2,1,1,"P11-02-2013-11-13-10-42-34"
475,"P11-03",NULL,1,2,1,1,"P11-03-2013-11-13-10-42-43"
476,"P11-08",NULL,1,2,1,1,"P11-08-2013-11-13-10-43-48"
477,"P11-09",NULL,1,2,1,1,"P11-09-2013-11-13-10-44-04"
478,"P11-06",NULL,1,2,1,1,"P11-06-2013-11-13-10-47-19"
479,"P11-05",NULL,1,2,1,1,"P11-05-2013-11-13-10-49-14"
480,"P11-01",NULL,1,2,1,1,"P11-01-2013-11-13-10-49-29"
481,"P11-10",NULL,1,2,1,1,"P11-10-2013-11-13-10-59-53"
482,"P11-11",NULL,1,2,1,1,"P11-11-2013-11-13-11-11-43"
484,"313-05","CZC8266Y9T",9,5,3,1,"313-05-2013-11-13-11-51-15"
485,"313-06","CZC8266Y9R",9,5,3,1,"313-06-2013-11-13-11-57-06"
488,"P12-01","CZC3332T9B",12,5,3,1,"P12-01-2013-11-13-14-33-52"
496,"P12-11",NULL,1,2,1,1,"P12-11-2013-11-13-14-48-21"
500,"111-01","CZC2065JNR",3,4,3,1,"111-01-2013-10-16-14-12-28"
508,"P12-06","CZC3332T9C",12,5,3,1,"P12-06-2013-11-14-15-14-19"
518,"P12-00","CZC3332T9S",12,5,3,1,"P12-00-2013-11-15-11-18-38"
527,"P12-02","CZC3332T9R",12,5,3,1,"P12-02-2013-11-15-13-19-40"
528,"P12-07","CZC3332T97",12,5,3,1,"P12-07-2013-11-15-15-07-26"
529,"P12-03","CZC3332T94",12,5,3,1,"P12-03-2013-11-15-15-33-03"
530,"P12-08","CZC3332T96",12,5,3,1,"P12-08-2013-11-15-16-16-38"
531,"313-01","CZC8266Y9P",9,5,3,1,"313-01-2013-11-07-01-37-45"
532,"P16-04","3GQ265J",16,3,2,1,"P16-04-2013-11-18-07-20-13"
533,"P16-02","FFQ265J",16,3,2,1,"P16-02-2013-11-18-08-10-18"
536,"P16-14","5GQ265J",16,3,2,1,"P16-14-2013-11-18-11-44-35"
538,"P16-13","8QB965J",16,3,2,1,"P16-13-2013-11-18-12-19-29"
540,"P16-10","3Y7C65J",16,3,2,1,"P16-10-2013-11-18-14-39-54"
541,"p14-02","CZC8266Y95",9,5,3,1,"p14-02-2013-11-18-16-23-34"
548,"CDI-02","CZC3331JVH",11,4,3,1,"CDI-02-2013-11-20-16-40-39"
549,"CDI-03","CZC3331JVB",11,4,3,1,"CDI-03-2013-11-21-10-38-14"
550,"P12-05","CZC3332T93",12,5,3,1,"P12-05-2013-11-21-14-26-59"
551,"P16-01","7QB965J",16,3,2,1,"P16-01-2013-11-15-10-38-38"
553,"CDI-04","CZC3331JVG",11,4,3,1,"CDI-04-2013-11-22-08-59-03"
554,"p13-01","CZC8266YBP",9,5,3,1,"p13-01-2013-11-22-09-59-44"
555,"P16-06","GPB965J",16,3,2,1,"P16-06-2013-11-18-16-39-50"
556,"P16-11","HQB965J",16,3,2,1,"P16-11-2013-11-18-08-10-05"
557,"P16-12","3QB965J",16,3,2,1,"P16-12-2013-11-18-11-37-03"
559,"CDI-05","CZC3331JVP",11,4,3,1,"CDI-05-2013-11-25-10-49-16"
561,"P16-03","JQB965J",16,3,2,1,"P16-03-2013-11-18-14-01-50"
562,"P16-08","HFQ265J",16,3,2,1,"P16-08-2013-11-18-13-07-17"
565,"P16-15","5Y7C65J",16,3,2,1,"P16-15-2013-11-18-15-59-37"
566,"CDI-01","CZC3331JVL",11,4,3,1,"CDI-01-2013-11-26-14-29-39"
573,"P10-05","CZC0425F9W",2,3,3,1,"P10-05-2013-11-27-16-40-36"
579,"CDI-00","CZC3331JVR",11,4,3,1,"CDI-00-2013-11-28-11-59-35"
601,"P10-08","CZC0425FF2",2,3,3,1,"P10-08-2013-12-02-14-51-17"
602,"P10-10","CZC0425FF1",2,3,3,1,"P10-10-2013-12-02-15-21-08"
604,"P10-04","CZC0425FCW",2,3,3,1,"P10-04-2013-12-02-15-48-41"
611,"P10-09","CZC0425F99",2,3,3,1,"P10-09-2013-12-03-11-16-52"
612,"P10-06",NULL,1,2,1,1,"P10-06-2013-12-03-13-13-10"
619,"P10-03","CZC0425F9Y",2,3,3,1,"P10-03-2013-12-04-14-53-50"
620,"P10-07","CZC0425FBL",2,3,3,1,"P10-07-2013-12-04-16-39-03"
625,"P12-10","CZC3332T92",12,5,3,1,"P12-10-2013-12-06-13-41-24"
628,"P10-01","CZC0425FC3",2,3,3,1,"P10-01-2013-12-10-11-30-25"
631,"211-01","CZC63855MP",7,5,3,1,"211-01-2013-12-05-21-32-33"
642,"213-01","CZC7350ZDH",8,5,3,1,"213-01-2013-12-13-05-46-07"
650,"P10-02","CZC0425F9T",2,3,3,1,"P10-02-2013-12-19-10-22-06"
651,"P12-09","CZC3332T9L",12,5,3,1,"P12-09-2013-12-20-15-49-41"
652,"003-01","CZC7350ZF8",8,5,3,1,"003-01-2013-12-16-09-48-32"
655,"326-01","CZC7350ZD4",8,5,3,1,"326-01-2014-01-10-16-30-03"
658,"001-01","CZC7350ZF7",8,5,3,1,"001-01-2014-01-14-15-39-48"
663,"002-01","CZC7350ZD1",8,5,3,1,"002-01-2014-01-20-10-27-59"
782,"svt-01","CZC63855MR",7,5,3,1,"svt-01-2012-09-24-09-00-00"
783,"svt-05","CZC7350ZDQ",8,5,3,1,"svt-05-2014-01-31-07-44-01"
882,"P15-10","FW7C65J",16,3,2,1,"P15-10-2014-02-13-14-03-24"
884,"313_01","CZC7350ZDF",8,5,3,1,"313_01-2012-03-29-10-09-28"
905,"P15-12","6HQ265J",16,3,2,1,"P15-12-2014-02-18-17-30-53"
908,"P15-03","CQB965J",16,3,2,1,"P15-03-2014-02-20-08-50-11"
910,"P15-05","HGQ265J",16,3,2,1,"P15-05-2014-02-20-08-50-58"
913,"P15-06","2HQ265J",16,3,2,1,"P15-06-2014-02-20-10-27-57"
915,"P15-11","DQB965J",16,3,2,1,"P15-11-2014-02-20-10-28-17"
920,"P15-07","FX7C65J",16,3,2,1,"P15-07-2014-02-20-10-37-35"
921,"P15-04","7HQ265J",16,3,2,1,"P15-04-2014-02-20-11-08-20"
922,"P15-13","5QB965J",16,3,2,1,"P15-13-2014-02-20-11-22-11"
924,"P15-02","1QB965J",16,3,2,1,"P15-02-2014-02-20-14-21-36"
926,"P15-01","9QB965J",16,3,2,1,"P15-01-2014-02-21-09-25-48"
934,"P15-15","1RB965J",16,3,2,1,"P15-15-2014-03-20-17-35-21"
939,"P16-09","4QB965J",16,3,2,1,"P16-09-2014-03-24-16-49-21"
951,"311-05","CZC7350ZFC",8,5,3,1,"311-05-2014-04-01-14-57-08"
961,"112-15","CZC2065JNQ",3,4,3,1,"112-15-2014-04-08-14-57-04"
966,"313-03","CZC82572WM",9,5,3,1,"313-03-2014-04-17-13-05-32"
971,"108-15","B4C5B5J",13,5,2,1,"108-15-2014-04-23-10-23-13"
973,"109-01",NULL,1,2,1,1,"109-01-2014-04-25-11-41-47"
975,"P15-08","FQB965J",16,3,2,1,"P15-08-2014-05-13-09-03-18"
980,"109-01","CZC2361LLF",4,5,3,1,"109-01-2014-05-14-16-23-00"
989,"P16-05","HPB965J",16,3,2,1,"P16-05-2014-05-22-17-31-51"
990,"313-10","CZC82572XQ",9,5,3,1,"313-10-2014-05-23-14-12-26"
992,"P16-07","JPB965J",16,3,2,1,"P16-07-2014-05-26-13-42-33"
995,"109-02","CZC2361LL5",4,5,3,1,"109-02-2014-06-03-09-45-36"
998,"315-07","CZC9362ZKJ",6,4,3,1,"315-07-2014-06-11-07-54-49"
999,"P15-09","GQB965J",16,3,2,1,"P15-09-2014-06-16-08-40-06"
